City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Siocon,PH,83.1,overcast clouds,7.7061,122.1353,ABS Hotel
267,Candido Mendes,BR,73.51,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
271,Bambous Virieux,MU,72.21,few clouds,-20.3428,57.7575,Casa Tia Villa
272,Isangel,VU,78.76,scattered clouds,-19.55,169.2667,Tanna Lodge
273,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
282,Ranong,TH,82.33,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
283,Buala,SB,84.0,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
284,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
288,Puerto Carreno,CO,78.78,moderate rain,6.189,-67.4859,Casa Hotel Victoria
296,Mandalgarh,IN,84.38,clear sky,25.2,75.1,दुर्गा टेंट हाऊस
302,Tibiri,NE,92.55,scattered clouds,13.5627,7.0485,FADA GAO FA TIBIRI
303,Pundaguitan,PH,78.4,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
309,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
314,Tautira,PF,80.94,light rain,-17.7333,-149.15,Pension Oaoa
317,Bolama,GW,79.14,scattered clouds,11.5833,-15.4667,Hotel Samaritana
318,Puerto Ayacucho,VE,77.27,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
320,Bilma,NE,92.14,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
321,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
322,Pemangkat,ID,78.89,light rain,1.1667,108.9667,Ramah Kost KITA
329,Maragogi,BR,76.53,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
331,Humaita,BR,75.45,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
332,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
334,Bhiwani,IN,85.08,clear sky,28.7833,76.1333,Gaur Guest House
